province,year,track,score,cumulativeRank,source
山东,2025,综合,541,98621,real:sdzk/一分一段
山东,2025,综合,540,100450,real:sdzk/一分一段
山东,2025,综合,539,102276,real:sdzk/一分一段
山东,2025,综合,538,104154,real:sdzk/一分一段
山东,2025,综合,537,106077,real:sdzk/一分一段
山东,2025,综合,536,107938,real:sdzk/一分一段
山东,2025,综合,535,109814,real:sdzk/一分一段
山东,2025,综合,534,111684,real:sdzk/一分一段
山东,2025,综合,533,113640,real:sdzk/一分一段
山东,2025,综合,532,115641,real:sdzk/一分一段
山东,2025,综合,531,117689,real:sdzk/一分一段
山东,2025,综合,530,119781,real:sdzk/一分一段
山东,2025,综合,529,121771,real:sdzk/一分一段
山东,2025,综合,528,123844,real:sdzk/一分一段
山东,2025,综合,527,126019,real:sdzk/一分一段
山东,2025,综合,526,128088,real:sdzk/一分一段
山东,2025,综合,525,130254,real:sdzk/一分一段
山东,2025,综合,524,132390,real:sdzk/一分一段
山东,2025,综合,523,134596,real:sdzk/一分一段
山东,2025,综合,522,136718,real:sdzk/一分一段
山东,2025,综合,521,138878,real:sdzk/一分一段
山东,2025,综合,520,140982,real:sdzk/一分一段
山东,2025,综合,519,143184,real:sdzk/一分一段
山东,2025,综合,518,145334,real:sdzk/一分一段
山东,2025,综合,517,147585,real:sdzk/一分一段
山东,2025,综合,516,149946,real:sdzk/一分一段
山东,2025,综合,515,152206,real:sdzk/一分一段
山东,2025,综合,514,154449,real:sdzk/一分一段
山东,2025,综合,513,156817,real:sdzk/一分一段
山东,2025,综合,512,159068,real:sdzk/一分一段
山东,2025,综合,511,161334,real:sdzk/一分一段
山东,2025,综合,510,163637,real:sdzk/一分一段
山东,2025,综合,509,165966,real:sdzk/一分一段
山东,2025,综合,508,168249,real:sdzk/一分一段
山东,2025,综合,507,170608,real:sdzk/一分一段
山东,2025,综合,506,173023,real:sdzk/一分一段
山东,2025,综合,505,175449,real:sdzk/一分一段
山东,2025,综合,504,177744,real:sdzk/一分一段
山东,2025,综合,503,180146,real:sdzk/一分一段
山东,2025,综合,502,182602,real:sdzk/一分一段
山东,2025,综合,501,184940,real:sdzk/一分一段
山东,2025,综合,500,187310,real:sdzk/一分一段
山东,2025,综合,499,189757,real:sdzk/一分一段
山东,2025,综合,498,192147,real:sdzk/一分一段
山东,2025,综合,497,194605,real:sdzk/一分一段
山东,2025,综合,496,197003,real:sdzk/一分一段
山东,2025,综合,495,199422,real:sdzk/一分一段
山东,2025,综合,494,201791,real:sdzk/一分一段
山东,2025,综合,493,204390,real:sdzk/一分一段
山东,2025,综合,492,206845,real:sdzk/一分一段
山东,2025,综合,491,209280,real:sdzk/一分一段
山东,2025,综合,490,211746,real:sdzk/一分一段
山东,2025,综合,489,214157,real:sdzk/一分一段
山东,2025,综合,488,216732,real:sdzk/一分一段
山东,2025,综合,487,219213,real:sdzk/一分一段
山东,2025,综合,486,221738,real:sdzk/一分一段
山东,2025,综合,485,224215,real:sdzk/一分一段
山东,2025,综合,484,226644,real:sdzk/一分一段
山东,2025,综合,483,229171,real:sdzk/一分一段
山东,2025,综合,482,231658,real:sdzk/一分一段
山东,2025,综合,481,234230,real:sdzk/一分一段
山东,2025,综合,480,236776,real:sdzk/一分一段
山东,2025,综合,479,239278,real:sdzk/一分一段
山东,2025,综合,478,241814,real:sdzk/一分一段
山东,2025,综合,477,244345,real:sdzk/一分一段
山东,2025,综合,476,246783,real:sdzk/一分一段
山东,2025,综合,475,249285,real:sdzk/一分一段
山东,2025,综合,474,251794,real:sdzk/一分一段
山东,2025,综合,473,254386,real:sdzk/一分一段
山东,2025,综合,472,256898,real:sdzk/一分一段
山东,2025,综合,471,259418,real:sdzk/一分一段
山东,2025,综合,470,261977,real:sdzk/一分一段
山东,2025,综合,469,264465,real:sdzk/一分一段
山东,2025,综合,468,267038,real:sdzk/一分一段
山东,2025,综合,467,269656,real:sdzk/一分一段
山东,2025,综合,466,272163,real:sdzk/一分一段
山东,2025,综合,465,274677,real:sdzk/一分一段
山东,2025,综合,464,277213,real:sdzk/一分一段
山东,2025,综合,463,279879,real:sdzk/一分一段
山东,2025,综合,462,282367,real:sdzk/一分一段
山东,2025,综合,461,284937,real:sdzk/一分一段
山东,2025,综合,460,287421,real:sdzk/一分一段
山东,2025,综合,459,289884,real:sdzk/一分一段
山东,2025,综合,458,292391,real:sdzk/一分一段
山东,2025,综合,457,294840,real:sdzk/一分一段
山东,2025,综合,456,297330,real:sdzk/一分一段
山东,2025,综合,455,299775,real:sdzk/一分一段
山东,2025,综合,454,302230,real:sdzk/一分一段
山东,2025,综合,453,304736,real:sdzk/一分一段
山东,2025,综合,452,307161,real:sdzk/一分一段
山东,2025,综合,451,309630,real:sdzk/一分一段
山东,2025,综合,450,312055,real:sdzk/一分一段
山东,2025,综合,449,314431,real:sdzk/一分一段
山东,2025,综合,448,316854,real:sdzk/一分一段
山东,2025,综合,447,319303,real:sdzk/一分一段
山东,2025,综合,446,321717,real:sdzk/一分一段
山东,2025,综合,445,324157,real:sdzk/一分一段
山东,2025,综合,444,326544,real:sdzk/一分一段
山东,2025,综合,443,328900,real:sdzk/一分一段
山东,2025,综合,442,331240,real:sdzk/一分一段
山东,2025,综合,441,333469,real:sdzk/一分一段
山东,2025,综合,440,335836,real:sdzk/一分一段
山东,2025,综合,439,338291,real:sdzk/一分一段
山东,2025,综合,438,340712,real:sdzk/一分一段
山东,2025,综合,437,343015,real:sdzk/一分一段
山东,2025,综合,436,345293,real:sdzk/一分一段
山东,2025,综合,435,347607,real:sdzk/一分一段
山东,2025,综合,434,349914,real:sdzk/一分一段
山东,2025,综合,433,352211,real:sdzk/一分一段
山东,2025,综合,432,354535,real:sdzk/一分一段
山东,2025,综合,431,356903,real:sdzk/一分一段
山东,2025,综合,430,359165,real:sdzk/一分一段
山东,2025,综合,429,361456,real:sdzk/一分一段
山东,2025,综合,428,363727,real:sdzk/一分一段
山东,2025,综合,427,365983,real:sdzk/一分一段
山东,2025,综合,426,368263,real:sdzk/一分一段
山东,2025,综合,425,370575,real:sdzk/一分一段
山东,2025,综合,424,372765,real:sdzk/一分一段
山东,2025,综合,423,374922,real:sdzk/一分一段
山东,2025,综合,422,377206,real:sdzk/一分一段
山东,2025,综合,421,379481,real:sdzk/一分一段
山东,2025,综合,420,381654,real:sdzk/一分一段
山东,2025,综合,419,383795,real:sdzk/一分一段
山东,2025,综合,418,385978,real:sdzk/一分一段
山东,2025,综合,417,388099,real:sdzk/一分一段
山东,2025,综合,416,390265,real:sdzk/一分一段
山东,2025,综合,415,392388,real:sdzk/一分一段
山东,2025,综合,414,394585,real:sdzk/一分一段
山东,2025,综合,413,396744,real:sdzk/一分一段
山东,2025,综合,412,398948,real:sdzk/一分一段
山东,2025,综合,411,401032,real:sdzk/一分一段
山东,2025,综合,410,403195,real:sdzk/一分一段
山东,2025,综合,409,405380,real:sdzk/一分一段
山东,2025,综合,408,407467,real:sdzk/一分一段
山东,2025,综合,407,409582,real:sdzk/一分一段
山东,2025,综合,406,411679,real:sdzk/一分一段
山东,2025,综合,405,413749,real:sdzk/一分一段
山东,2025,综合,404,415913,real:sdzk/一分一段
山东,2025,综合,403,418005,real:sdzk/一分一段
山东,2025,综合,402,420055,real:sdzk/一分一段
山东,2025,综合,401,422233,real:sdzk/一分一段
山东,2025,综合,400,424319,real:sdzk/一分一段
