universityId,province,year,track,minScore,minRank,source
A564,山东,2025,综合,532,116061,real:sdzk/投档线
A390,山东,2025,综合,531,116703,real:sdzk/投档线
A560,山东,2025,综合,531,116851,real:sdzk/投档线
B079,山东,2025,综合,531,117307,real:sdzk/投档线
C453,山东,2025,综合,531,118019,real:sdzk/投档线
A850,山东,2025,综合,531,118027,real:sdzk/投档线
A759,山东,2025,综合,530,119146,real:sdzk/投档线
D819,山东,2025,综合,530,119576,real:sdzk/投档线
A043,山东,2025,综合,530,119722,real:sdzk/投档线
A694,山东,2025,综合,530,120002,real:sdzk/投档线
A385,山东,2025,综合,530,120338,real:sdzk/投档线
A927,山东,2025,综合,529,121269,real:sdzk/投档线
A017,山东,2025,综合,528,123113,real:sdzk/投档线
B664,山东,2025,综合,528,123426,real:sdzk/投档线
A345,山东,2025,综合,528,123771,real:sdzk/投档线
Y014,山东,2025,综合,528,124817,real:sdzk/投档线
A298,山东,2025,综合,528,124871,real:sdzk/投档线
A705,山东,2025,综合,527,125128,real:sdzk/投档线
A856,山东,2025,综合,527,125325,real:sdzk/投档线
A378,山东,2025,综合,527,125361,real:sdzk/投档线
A225,山东,2025,综合,527,125698,real:sdzk/投档线
A554,山东,2025,综合,527,126323,real:sdzk/投档线
A495,山东,2025,综合,527,126445,real:sdzk/投档线
A304,山东,2025,综合,527,126762,real:sdzk/投档线
A624,山东,2025,综合,527,127025,real:sdzk/投档线
B600,山东,2025,综合,526,127297,real:sdzk/投档线
A366,山东,2025,综合,526,127721,real:sdzk/投档线
A633,山东,2025,综合,526,127856,real:sdzk/投档线
B458,山东,2025,综合,526,127965,real:sdzk/投档线
A172,山东,2025,综合,526,128096,real:sdzk/投档线
A929,山东,2025,综合,526,128299,real:sdzk/投档线
B149,山东,2025,综合,526,128775,real:sdzk/投档线
D287,山东,2025,综合,526,128935,real:sdzk/投档线
D021,山东,2025,综合,526,129064,real:sdzk/投档线
A338,山东,2025,综合,525,129391,real:sdzk/投档线
A729,山东,2025,综合,525,131082,real:sdzk/投档线
A655,山东,2025,综合,524,131398,real:sdzk/投档线
A393,山东,2025,综合,524,131608,real:sdzk/投档线
A743,山东,2025,综合,524,132694,real:sdzk/投档线
A749,山东,2025,综合,524,132701,real:sdzk/投档线
A588,山东,2025,综合,524,132882,real:sdzk/投档线
A585,山东,2025,综合,523,134577,real:sdzk/投档线
A525,山东,2025,综合,523,134890,real:sdzk/投档线
A089,山东,2025,综合,523,135035,real:sdzk/投档线
B106,山东,2025,综合,523,135533,real:sdzk/投档线
A011,山东,2025,综合,522,135917,real:sdzk/投档线
A445,山东,2025,综合,522,136687,real:sdzk/投档线
A164,山东,2025,综合,522,137501,real:sdzk/投档线
A456,山东,2025,综合,521,138035,real:sdzk/投档线
A621,山东,2025,综合,521,138517,real:sdzk/投档线
A369,山东,2025,综合,521,138658,real:sdzk/投档线
A631,山东,2025,综合,521,139164,real:sdzk/投档线
A716,山东,2025,综合,520,140383,real:sdzk/投档线
B654,山东,2025,综合,520,140501,real:sdzk/投档线
A289,山东,2025,综合,520,141100,real:sdzk/投档线
A524,山东,2025,综合,520,141534,real:sdzk/投档线
